Date,Site Visitors ,Search Engine Visitors,Direct Entry Visitors,Other Websites Visitors,Social Networks Visitors,Request Appointment CTA,Donation Completed
1-Jan-16,"24,398",16,20,1,2,57,28
2-Jan-16,"25,723",20,15,4,0,52,33
3-Jan-16,"30,018",22,18,4,1,62,21
4-Jan-16,"52,082",77,102,12,1,247,30
5-Jan-16,"55,670",78,87,7,1,242,30
6-Jan-16,"55,477",74,110,11,1,254,34
7-Jan-16,"55,665",80,109,13,2,278,21
8-Jan-16,"48,534",87,95,16,0,259,37
9-Jan-16,"30,775",38,27,3,0,87,21
10-Jan-16,"32,989",37,38,8,1,101,48
11-Jan-16,"55,129",88,128,17,0,297,99
12-Jan-16,"47,890",216,297,28,14,567,47
13-Jan-16,"46,917",209,257,38,12,531,35
14-Jan-16,"50,967",213,247,26,6,527,34
15-Jan-16,"44,904",222,231,29,2,487,51
16-Jan-16,"26,503",97,80,16,0,201,28
17-Jan-16,"33,283",97,69,12,4,181,32
18-Jan-16,"35,996",200,144,17,4,351,59
19-Jan-16,"42,542",285,272,36,2,594,34
20-Jan-16,"41,575",214,262,30,5,536,50
21-Jan-16,"41,020",224,248,23,3,527,52
22-Jan-16,"35,695",195,253,21,4,485,51
23-Jan-16,"21,751",89,88,8,0,196,45
24-Jan-16,"22,735",108,96,15,2,216,41
25-Jan-16,"41,172",256,294,22,9,616,71
26-Jan-16,"41,669",255,265,27,7,567,66
27-Jan-16,"43,842",249,287,42,10,587,47
28-Jan-16,"40,391",234,271,30,6,566,33
29-Jan-16,"37,328",205,279,35,5,524,37
30-Jan-16,"22,205",106,117,28,0,242,39
31-Jan-16,"22,863",124,121,15,1,255,34
1-Feb-16,"36,188",274,290,32,8,601,44
2-Feb-16,"37,211",238,280,29,5,576,50
3-Feb-16,"37,451",241,262,30,4,555,49
4-Feb-16,"35,340",228,237,34,2,519,30
5-Feb-16,"31,829",185,220,29,2,445,23
6-Feb-16,"18,411",92,95,9,5,202,32
7-Feb-16,"16,881",82,85,16,2,187,34
8-Feb-16,"34,826",240,244,22,6,534,44
9-Feb-16,"37,496",206,256,33,2,512,86
10-Feb-16,"37,206",208,267,21,4,530,59
11-Feb-16,"35,205",224,256,28,7,535,40
12-Feb-16,"31,515",213,227,23,3,466,38
13-Feb-16,"18,189",112,98,19,2,239,24
14-Feb-16,"19,385",106,99,15,2,215,45
15-Feb-16,"37,241",252,252,28,11,544,28
16-Feb-16,"39,792",216,263,38,5,558,33
17-Feb-16,"38,295",227,238,19,5,520,44
18-Feb-16,"38,357",215,266,32,7,544,44
19-Feb-16,"33,572",201,222,22,5,467,34
20-Feb-16,"20,210",113,94,14,2,220,28
21-Feb-16,"21,136",105,83,12,5,204,30
22-Feb-16,"40,173",241,271,23,6,562,29
23-Feb-16,"39,610",218,273,23,8,530,34
24-Feb-16,"38,363",221,278,22,4,547,24
25-Feb-16,"36,964",228,257,25,7,535,21
26-Feb-16,"31,635",221,242,21,2,491,34
27-Feb-16,"18,041",93,95,17,0,205,15
28-Feb-16,"19,473",96,88,13,0,205,18
29-Feb-16,"37,021",255,302,25,3,581,27
1-Mar-16,"37,537",241,281,26,6,568,48
2-Mar-16,"39,490",219,294,33,7,551,34
3-Mar-16,"37,491",248,283,36,3,572,32
4-Mar-16,"35,018",220,287,29,9,542,42
5-Mar-16,"21,504",95,101,19,5,215,23
6-Mar-16,"22,001",108,97,15,3,222,28
7-Mar-16,"40,581",250,294,40,7,603,39
8-Mar-16,"40,356",261,312,36,7,600,55
9-Mar-16,"39,684",241,297,26,2,574,40
10-Mar-16,"38,640",241,302,24,2,575,35
11-Mar-16,"33,976",232,277,23,5,545,55
12-Mar-16,"19,871",85,117,10,3,209,32
13-Mar-16,"19,217",107,108,9,2,226,28
14-Mar-16,"36,881",256,265,26,7,562,69
15-Mar-16,"36,857",221,289,24,3,553,63
16-Mar-16,"35,487",220,283,26,9,539,38
17-Mar-16,"34,793",216,258,21,7,498,28
18-Mar-16,"30,597",195,237,24,1,459,49
19-Mar-16,"18,102",104,91,14,1,212,25
20-Mar-16,"19,440",89,100,10,2,193,19
21-Mar-16,"36,515",268,271,31,6,575,51
22-Mar-16,"36,654",249,273,27,4,565,51
23-Mar-16,"36,078",222,272,26,1,551,39
24-Mar-16,"34,359",207,271,25,3,519,39
25-Mar-16,"27,973",149,199,13,1,382,27
26-Mar-16,"18,412",80,80,10,5,169,22
27-Mar-16,"18,568",83,69,9,2,155,28
28-Mar-16,"39,056",234,272,27,2,564,67
29-Mar-16,"40,747",241,271,24,7,561,30
30-Mar-16,"40,520",261,273,21,5,571,53
31-Mar-16,"38,906",221,265,12,8,530,51
1-Apr-16,"34,249",215,250,18,1,488,43
2-Apr-16,"21,217",99,83,13,2,190,33