Date,Site,Search Engine ,Direct Entry ,Other Websites,Social Networks,Cancer Type,RA CTA,Donated,RA Conv
1/1/16,24398,16,20,1,2,110,57,28,0.002336257
1/2/16,25723,20,15,4,0,90,52,33,0.002021537
1/3/16,30018,22,18,4,1,118,62,21,0.002065427
1/4/16,52082,77,102,12,1,353,247,30,0.004742521
1/5/16,55670,78,87,7,1,350,242,30,0.004347045
1/6/16,55477,74,110,11,1,369,254,34,0.004578474
1/7/16,55665,80,109,13,2,362,278,21,0.004994162
1/8/16,48534,87,95,16,0,356,259,37,0.005336465
1/9/16,30775,38,27,3,0,154,87,21,0.00282697
1/10/16,32989,37,38,8,1,172,101,48,0.003061627
1/11/16,55129,88,128,17,0,415,297,99,0.005387364
1/12/16,47890,216,297,28,14,1306,567,47,0.011839632
1/13/16,46917,209,257,38,12,1091,531,35,0.011317859
1/14/16,50967,213,247,26,6,1091,527,34,0.010340024
1/15/16,44904,222,231,29,2,960,487,51,0.010845359
1/16/16,26503,97,80,16,0,491,201,28,0.007584047
1/17/16,33283,97,69,12,4,475,181,32,0.005438212
1/18/16,35996,200,144,17,4,719,351,59,0.009751083
1/19/16,42542,285,272,36,2,903,594,34,0.013962672
1/20/16,41575,214,262,30,5,943,536,50,0.012892363
1/21/16,41020,224,248,23,3,922,527,52,0.012847392
1/22/16,35695,195,253,21,4,884,485,51,0.013587337
1/23/16,21751,89,88,8,0,496,196,45,0.00901108
1/24/16,22735,108,96,15,2,514,216,41,0.00950077
1/25/16,41172,256,294,22,9,1003,616,71,0.014961624
1/26/16,41669,255,265,27,7,1029,567,66,0.013607238
1/27/16,43842,249,287,42,10,1045,587,47,0.013388988
1/28/16,40391,234,271,30,6,1025,566,33,0.014013023
1/29/16,37328,205,279,35,5,942,524,37,0.01403772
1/30/16,22205,106,117,28,0,495,242,39,0.010898446
1/31/16,22863,124,121,15,1,566,255,34,0.011153392
2/1/16,36188,274,290,32,8,908,601,44,0.016607715
2/2/16,37211,238,280,29,5,993,576,50,0.015479294
2/3/16,37451,241,262,30,4,945,555,49,0.014819364
2/4/16,35340,228,237,34,2,931,519,30,0.014685908
2/5/16,31829,185,220,29,2,804,445,23,0.013980961
2/6/16,18411,92,95,9,5,475,202,32,0.010971702
2/7/16,16881,82,85,16,2,429,187,34,0.011077543
2/8/16,34826,240,244,22,6,887,534,44,0.015333372
2/9/16,37496,206,256,33,2,933,512,86,0.01365479
2/10/16,37206,208,267,21,4,895,530,59,0.014245014
2/11/16,35205,224,256,28,7,840,535,40,0.015196705
2/12/16,31515,213,227,23,3,800,466,38,0.01478661
2/13/16,18189,112,98,19,2,440,239,24,0.01313981
2/14/16,19385,106,99,15,2,468,215,45,0.01109105
2/15/16,37241,252,252,28,11,901,544,28,0.014607556
2/16/16,39792,216,263,38,5,874,558,33,0.014022919
2/17/16,38295,227,238,19,5,897,520,44,0.013578796
2/18/16,38357,215,266,32,7,888,544,44,0.014182548
2/19/16,33572,201,222,22,5,733,467,34,0.013910402
2/20/16,20210,113,94,14,2,419,220,28,0.0108857
2/21/16,21136,105,83,12,5,499,204,30,0.009651779
2/22/16,40173,241,271,23,6,966,562,29,0.013989495
2/23/16,39610,218,273,23,8,930,530,34,0.013380459
2/24/16,38363,221,278,22,4,915,547,24,0.01425853
2/25/16,36964,228,257,25,7,862,535,21,0.014473542
2/26/16,31635,221,242,21,2,755,491,34,0.015520784
2/27/16,18041,93,95,17,0,426,205,15,0.011363006
2/28/16,19473,96,88,13,0,434,205,18,0.010527397
2/29/16,37021,255,302,25,3,861,581,27,0.015693795
3/1/16,37537,241,281,26,6,903,568,48,0.015131737
3/2/16,39490,219,294,33,7,1011,551,34,0.013952899
3/3/16,37491,248,283,36,3,836,572,32,0.015256995
3/4/16,35018,220,287,29,9,458,542,42,0.015477754
3/5/16,21504,95,101,19,5,167,215,23,0.00999814
3/6/16,22001,108,97,15,3,214,222,28,0.01009045
3/7/16,40581,250,294,40,7,478,603,39,0.014859171
3/8/16,40356,261,312,36,7,436,600,55,0.014867678
3/9/16,39684,241,297,26,2,624,574,40,0.014464268
3/10/16,38640,241,302,24,2,784,575,35,0.014880952
3/11/16,33976,232,277,23,5,747,545,55,0.016040735
3/12/16,19871,85,117,10,3,420,209,32,0.01051784
3/13/16,19217,107,108,9,2,389,226,28,0.01176042
3/14/16,36881,256,265,26,7,824,562,69,0.015238199
3/15/16,36857,221,289,24,3,789,553,63,0.015003934
3/16/16,35487,220,283,26,9,843,539,38,0.015188661
3/17/16,34793,216,258,21,7,743,498,28,0.014313224
3/18/16,30597,195,237,24,1,691,459,49,0.015001471
3/19/16,18102,104,91,14,1,396,212,25,0.011711413
3/20/16,19440,89,100,10,2,405,193,19,0.009927984
3/21/16,36515,268,271,31,6,855,575,51,0.015746953
3/22/16,36654,249,273,27,4,818,565,51,0.015414416
3/23/16,36078,222,272,26,1,779,551,39,0.015272465
3/24/16,34359,207,271,25,3,820,519,39,0.015105213
3/25/16,27973,149,199,13,1,590,382,27,0.013656025
3/26/16,18412,80,80,10,5,372,169,22,0.009178796
3/27/16,18568,83,69,9,2,377,155,28,0.008347695
3/28/16,39056,234,272,27,2,882,564,67,0.014440803
3/29/16,40747,241,271,24,7,847,561,30,0.013767885
3/30/16,40520,261,273,21,5,850,571,53,0.014091807
3/31/16,38906,221,265,12,8,824,530,51,0.013622577
4/1/16,34249,215,250,18,1,701,488,43,0.014248591
4/2/16,21217,99,83,13,2,435,190,33,0.008955083
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,