Date,searchengine ,directentry ,cancertype,ra
1/1/16,16,20,110,57
1/2/16,20,15,90,52
1/3/16,22,18,118,62
1/4/16,77,102,353,247
1/5/16,78,87,350,242
1/6/16,74,110,369,254
1/7/16,80,109,362,278
1/8/16,87,95,356,259
1/9/16,38,27,154,87
1/10/16,37,38,172,101
1/11/16,88,128,415,297
1/12/16,216,297,1306,567
1/13/16,209,257,1091,531
1/14/16,213,247,1091,527
1/15/16,222,231,960,487
1/16/16,97,80,491,201
1/17/16,97,69,475,181
1/18/16,200,144,719,351
1/19/16,285,272,903,594
1/20/16,214,262,943,536
1/21/16,224,248,922,527
1/22/16,195,253,884,485
1/23/16,89,88,496,196
1/24/16,108,96,514,216
1/25/16,256,294,1003,616
1/26/16,255,265,1029,567
1/27/16,249,287,1045,587
1/28/16,234,271,1025,566
1/29/16,205,279,942,524
1/30/16,106,117,495,242
1/31/16,124,121,566,255
2/1/16,274,290,908,601
2/2/16,238,280,993,576
2/3/16,241,262,945,555
2/4/16,228,237,931,519
2/5/16,185,220,804,445
2/6/16,92,95,475,202
2/7/16,82,85,429,187
2/8/16,240,244,887,534
2/9/16,206,256,933,512
2/10/16,208,267,895,530
2/11/16,224,256,840,535
2/12/16,213,227,800,466
2/13/16,112,98,440,239
2/14/16,106,99,468,215
2/15/16,252,252,901,544
2/16/16,216,263,874,558
2/17/16,227,238,897,520
2/18/16,215,266,888,544
2/19/16,201,222,733,467
2/20/16,113,94,419,220
2/21/16,105,83,499,204
2/22/16,241,271,966,562
2/23/16,218,273,930,530
2/24/16,221,278,915,547
2/25/16,228,257,862,535
2/26/16,221,242,755,491
2/27/16,93,95,426,205
2/28/16,96,88,434,205
2/29/16,255,302,861,581
3/1/16,241,281,903,568
3/2/16,219,294,1011,551
3/3/16,248,283,836,572
3/4/16,220,287,458,542
3/5/16,95,101,167,215
3/6/16,108,97,214,222
3/7/16,250,294,478,603
3/8/16,261,312,436,600
3/9/16,241,297,624,574
3/10/16,241,302,784,575
3/11/16,232,277,747,545
3/12/16,85,117,420,209
3/13/16,107,108,389,226
3/14/16,256,265,824,562
3/15/16,221,289,789,553
3/16/16,220,283,843,539
3/17/16,216,258,743,498
3/18/16,195,237,691,459
3/19/16,104,91,396,212
3/20/16,89,100,405,193
3/21/16,268,271,855,575
3/22/16,249,273,818,565
3/23/16,222,272,779,551
3/24/16,207,271,820,519
3/25/16,149,199,590,382
3/26/16,80,80,372,169
3/27/16,83,69,377,155
3/28/16,234,272,882,564
3/29/16,241,271,847,561
3/30/16,261,273,850,571
3/31/16,221,265,824,530
4/1/16,215,250,701,488
4/2/16,99,83,435,190